ID         Site                     App        Workdir                    State              Tags                                                                                                         
33979578   2x2_production_polaris   analysis   workdir/v0_45_analysis     JOB_FINISHED       {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979579   2x2_production_polaris   analysis   workdir/v0_46_analysis     JOB_FINISHED       {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979580   2x2_production_polaris   analysis   workdir/v0_47_analysis     JOB_FINISHED       {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979581   2x2_production_polaris   analysis   workdir/v0_48_analysis     JOB_FINISHED       {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979582   2x2_production_polaris   analysis   workdir/v0_49_analysis     JOB_FINISHED       {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979583   2x2_production_polaris   analysis   workdir/v0_50_analysis     JOB_FINISHED       {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979584   2x2_production_polaris   analysis   workdir/v0_51_analysis     JOB_FINISHED       {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979585   2x2_production_polaris   analysis   workdir/v0_52_analysis     JOB_FINISHED       {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979586   2x2_production_polaris   analysis   workdir/v0_53_analysis     JOB_FINISHED       {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979587   2x2_production_polaris   analysis   workdir/v0_54_analysis     JOB_FINISHED       {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979588   2x2_production_polaris   analysis   workdir/v0_55_analysis     JOB_FINISHED       {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979589   2x2_production_polaris   analysis   workdir/v0_56_analysis     JOB_FINISHED       {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979590   2x2_production_polaris   analysis   workdir/v0_57_analysis     JOB_FINISHED       {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979591   2x2_production_polaris   analysis   workdir/v0_58_analysis     JOB_FINISHED       {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
