ID         Site                     App    Workdir            State              Tags                                                                         
33962052   2x2_production_polaris   plot   workdir/68_plot    AWAITING_PARENTS   {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962053   2x2_production_polaris   plot   workdir/69_plot    AWAITING_PARENTS   {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962054   2x2_production_polaris   plot   workdir/70_plot    AWAITING_PARENTS   {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962055   2x2_production_polaris   plot   workdir/71_plot    AWAITING_PARENTS   {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962056   2x2_production_polaris   plot   workdir/72_plot    AWAITING_PARENTS   {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962057   2x2_production_polaris   plot   workdir/73_plot    AWAITING_PARENTS   {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962058   2x2_production_polaris   plot   workdir/74_plot    AWAITING_PARENTS   {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962059   2x2_production_polaris   plot   workdir/75_plot    AWAITING_PARENTS   {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962060   2x2_production_polaris   plot   workdir/76_plot    AWAITING_PARENTS   {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962061   2x2_production_polaris   plot   workdir/77_plot    RESTART_READY      {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962062   2x2_production_polaris   plot   workdir/78_plot    RESTART_READY      {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962063   2x2_production_polaris   plot   workdir/79_plot    AWAITING_PARENTS   {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962064   2x2_production_polaris   plot   workdir/80_plot    AWAITING_PARENTS   {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962065   2x2_production_polaris   plot   workdir/81_plot    RESTART_READY      {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962066   2x2_production_polaris   plot   workdir/82_plot    AWAITING_PARENTS   {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962067   2x2_production_polaris   plot   workdir/83_plot    AWAITING_PARENTS   {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962068   2x2_production_polaris   plot   workdir/84_plot    AWAITING_PARENTS   {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962069   2x2_production_polaris   plot   workdir/85_plot    AWAITING_PARENTS   {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962070   2x2_production_polaris   plot   workdir/86_plot    AWAITING_PARENTS   {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962071   2x2_production_polaris   plot   workdir/87_plot    RESTART_READY      {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962072   2x2_production_polaris   plot   workdir/88_plot    AWAITING_PARENTS   {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962073   2x2_production_polaris   plot   workdir/89_plot    RESTART_READY      {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962074   2x2_production_polaris   plot   workdir/90_plot    AWAITING_PARENTS   {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962075   2x2_production_polaris   plot   workdir/91_plot    RESTART_READY      {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962076   2x2_production_polaris   plot   workdir/92_plot    RESTART_READY      {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962077   2x2_production_polaris   plot   workdir/93_plot    AWAITING_PARENTS   {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962078   2x2_production_polaris   plot   workdir/94_plot    AWAITING_PARENTS   {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962079   2x2_production_polaris   plot   workdir/95_plot    RESTART_READY      {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962080   2x2_production_polaris   plot   workdir/96_plot    AWAITING_PARENTS   {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962081   2x2_production_polaris   plot   workdir/97_plot    AWAITING_PARENTS   {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962082   2x2_production_polaris   plot   workdir/98_plot    AWAITING_PARENTS   {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962083   2x2_production_polaris   plot   workdir/99_plot    RESTART_READY      {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962084   2x2_production_polaris   plot   workdir/100_plot   AWAITING_PARENTS   {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962085   2x2_production_polaris   plot   workdir/101_plot   AWAITING_PARENTS   {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962086   2x2_production_polaris   plot   workdir/102_plot   AWAITING_PARENTS   {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962087   2x2_production_polaris   plot   workdir/103_plot   RESTART_READY      {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962088   2x2_production_polaris   plot   workdir/104_plot   RESTART_READY      {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962089   2x2_production_polaris   plot   workdir/105_plot   AWAITING_PARENTS   {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962090   2x2_production_polaris   plot   workdir/106_plot   RESTART_READY      {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962091   2x2_production_polaris   plot   workdir/107_plot   AWAITING_PARENTS   {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962092   2x2_production_polaris   plot   workdir/108_plot   AWAITING_PARENTS   {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962093   2x2_production_polaris   plot   workdir/109_plot   RESTART_READY      {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962094   2x2_production_polaris   plot   workdir/110_plot   RESTART_READY      {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962095   2x2_production_polaris   plot   workdir/111_plot   RESTART_READY      {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962096   2x2_production_polaris   plot   workdir/112_plot   FAILED             {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962097   2x2_production_polaris   plot   workdir/113_plot   AWAITING_PARENTS   {'index': '113', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962098   2x2_production_polaris   plot   workdir/114_plot   AWAITING_PARENTS   {'index': '114', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962099   2x2_production_polaris   plot   workdir/115_plot   AWAITING_PARENTS   {'index': '115', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962100   2x2_production_polaris   plot   workdir/116_plot   AWAITING_PARENTS   {'index': '116', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962101   2x2_production_polaris   plot   workdir/117_plot   AWAITING_PARENTS   {'index': '117', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962102   2x2_production_polaris   plot   workdir/118_plot   AWAITING_PARENTS   {'index': '118', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962103   2x2_production_polaris   plot   workdir/119_plot   RESTART_READY      {'index': '119', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962104   2x2_production_polaris   plot   workdir/120_plot   RESTART_READY      {'index': '120', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962105   2x2_production_polaris   plot   workdir/121_plot   AWAITING_PARENTS   {'index': '121', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962106   2x2_production_polaris   plot   workdir/122_plot   AWAITING_PARENTS   {'index': '122', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962107   2x2_production_polaris   plot   workdir/123_plot   AWAITING_PARENTS   {'index': '123', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962108   2x2_production_polaris   plot   workdir/124_plot   RESTART_READY      {'index': '124', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962109   2x2_production_polaris   plot   workdir/125_plot   AWAITING_PARENTS   {'index': '125', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962110   2x2_production_polaris   plot   workdir/126_plot   AWAITING_PARENTS   {'index': '126', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962111   2x2_production_polaris   plot   workdir/127_plot   AWAITING_PARENTS   {'index': '127', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962112   2x2_production_polaris   plot   workdir/128_plot   AWAITING_PARENTS   {'index': '128', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962113   2x2_production_polaris   plot   workdir/129_plot   AWAITING_PARENTS   {'index': '129', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962114   2x2_production_polaris   plot   workdir/130_plot   AWAITING_PARENTS   {'index': '130', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962115   2x2_production_polaris   plot   workdir/131_plot   RESTART_READY      {'index': '131', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962116   2x2_production_polaris   plot   workdir/132_plot   AWAITING_PARENTS   {'index': '132', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962117   2x2_production_polaris   plot   workdir/133_plot   AWAITING_PARENTS   {'index': '133', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962118   2x2_production_polaris   plot   workdir/134_plot   RESTART_READY      {'index': '134', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962119   2x2_production_polaris   plot   workdir/135_plot   AWAITING_PARENTS   {'index': '135', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962120   2x2_production_polaris   plot   workdir/136_plot   RESTART_READY      {'index': '136', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962121   2x2_production_polaris   plot   workdir/137_plot   AWAITING_PARENTS   {'index': '137', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962122   2x2_production_polaris   plot   workdir/138_plot   AWAITING_PARENTS   {'index': '138', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962123   2x2_production_polaris   plot   workdir/139_plot   AWAITING_PARENTS   {'index': '139', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962124   2x2_production_polaris   plot   workdir/140_plot   AWAITING_PARENTS   {'index': '140', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962125   2x2_production_polaris   plot   workdir/141_plot   AWAITING_PARENTS   {'index': '141', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962126   2x2_production_polaris   plot   workdir/142_plot   AWAITING_PARENTS   {'index': '142', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33962127   2x2_production_polaris   plot   workdir/143_plot   AWAITING_PARENTS   {'index': '143', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963308   2x2_production_polaris   plot   workdir/144_plot   AWAITING_PARENTS   {'index': '144', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963309   2x2_production_polaris   plot   workdir/145_plot   AWAITING_PARENTS   {'index': '145', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963310   2x2_production_polaris   plot   workdir/146_plot   AWAITING_PARENTS   {'index': '146', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963311   2x2_production_polaris   plot   workdir/147_plot   AWAITING_PARENTS   {'index': '147', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963312   2x2_production_polaris   plot   workdir/148_plot   AWAITING_PARENTS   {'index': '148', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963313   2x2_production_polaris   plot   workdir/149_plot   AWAITING_PARENTS   {'index': '149', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963314   2x2_production_polaris   plot   workdir/150_plot   AWAITING_PARENTS   {'index': '150', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963315   2x2_production_polaris   plot   workdir/151_plot   AWAITING_PARENTS   {'index': '151', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963316   2x2_production_polaris   plot   workdir/152_plot   AWAITING_PARENTS   {'index': '152', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963317   2x2_production_polaris   plot   workdir/153_plot   AWAITING_PARENTS   {'index': '153', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963318   2x2_production_polaris   plot   workdir/154_plot   AWAITING_PARENTS   {'index': '154', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963319   2x2_production_polaris   plot   workdir/155_plot   AWAITING_PARENTS   {'index': '155', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963320   2x2_production_polaris   plot   workdir/156_plot   AWAITING_PARENTS   {'index': '156', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963321   2x2_production_polaris   plot   workdir/157_plot   AWAITING_PARENTS   {'index': '157', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963322   2x2_production_polaris   plot   workdir/158_plot   AWAITING_PARENTS   {'index': '158', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963323   2x2_production_polaris   plot   workdir/159_plot   AWAITING_PARENTS   {'index': '159', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963324   2x2_production_polaris   plot   workdir/160_plot   AWAITING_PARENTS   {'index': '160', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963325   2x2_production_polaris   plot   workdir/161_plot   AWAITING_PARENTS   {'index': '161', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963326   2x2_production_polaris   plot   workdir/162_plot   AWAITING_PARENTS   {'index': '162', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963327   2x2_production_polaris   plot   workdir/163_plot   AWAITING_PARENTS   {'index': '163', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963328   2x2_production_polaris   plot   workdir/164_plot   AWAITING_PARENTS   {'index': '164', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963329   2x2_production_polaris   plot   workdir/165_plot   AWAITING_PARENTS   {'index': '165', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963330   2x2_production_polaris   plot   workdir/166_plot   AWAITING_PARENTS   {'index': '166', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963331   2x2_production_polaris   plot   workdir/167_plot   AWAITING_PARENTS   {'index': '167', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963332   2x2_production_polaris   plot   workdir/168_plot   AWAITING_PARENTS   {'index': '168', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963333   2x2_production_polaris   plot   workdir/169_plot   AWAITING_PARENTS   {'index': '169', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963334   2x2_production_polaris   plot   workdir/170_plot   AWAITING_PARENTS   {'index': '170', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963335   2x2_production_polaris   plot   workdir/171_plot   AWAITING_PARENTS   {'index': '171', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963336   2x2_production_polaris   plot   workdir/172_plot   AWAITING_PARENTS   {'index': '172', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963337   2x2_production_polaris   plot   workdir/173_plot   AWAITING_PARENTS   {'index': '173', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963338   2x2_production_polaris   plot   workdir/174_plot   AWAITING_PARENTS   {'index': '174', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963339   2x2_production_polaris   plot   workdir/175_plot   AWAITING_PARENTS   {'index': '175', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963340   2x2_production_polaris   plot   workdir/176_plot   AWAITING_PARENTS   {'index': '176', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
33963341   2x2_production_polaris   plot   workdir/177_plot   AWAITING_PARENTS   {'index': '177', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}  
