ID         Site                     App           Workdir                       State          Tags                                                                                                               
33989621   2x2_production_polaris   analysis_v1   workdir/v3_74_analysis_v1     JOB_FINISHED   {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989622   2x2_production_polaris   analysis_v1   workdir/v3_75_analysis_v1     JOB_FINISHED   {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989623   2x2_production_polaris   analysis_v1   workdir/v3_76_analysis_v1     FAILED         {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989624   2x2_production_polaris   analysis_v1   workdir/v3_77_analysis_v1     JOB_FINISHED   {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989625   2x2_production_polaris   analysis_v1   workdir/v3_78_analysis_v1     JOB_FINISHED   {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989626   2x2_production_polaris   analysis_v1   workdir/v3_79_analysis_v1     FAILED         {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989627   2x2_production_polaris   analysis_v1   workdir/v3_80_analysis_v1     JOB_FINISHED   {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989628   2x2_production_polaris   analysis_v1   workdir/v3_81_analysis_v1     JOB_FINISHED   {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989629   2x2_production_polaris   analysis_v1   workdir/v3_82_analysis_v1     JOB_FINISHED   {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989630   2x2_production_polaris   analysis_v1   workdir/v3_83_analysis_v1     JOB_FINISHED   {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989631   2x2_production_polaris   analysis_v1   workdir/v3_84_analysis_v1     JOB_FINISHED   {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989632   2x2_production_polaris   analysis_v1   workdir/v3_85_analysis_v1     JOB_FINISHED   {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989633   2x2_production_polaris   analysis_v1   workdir/v3_86_analysis_v1     JOB_FINISHED   {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989634   2x2_production_polaris   analysis_v1   workdir/v3_87_analysis_v1     JOB_FINISHED   {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
