ID         Site                     App           Workdir                       State              Tags                                                                                                            
33977528   2x2_production_polaris   flow2supera   workdir/v0_39_flow2supera     JOB_FINISHED       {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977529   2x2_production_polaris   flow2supera   workdir/v0_40_flow2supera     JOB_FINISHED       {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977530   2x2_production_polaris   flow2supera   workdir/v0_41_flow2supera     JOB_FINISHED       {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977531   2x2_production_polaris   flow2supera   workdir/v0_42_flow2supera     AWAITING_PARENTS   {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977532   2x2_production_polaris   flow2supera   workdir/v0_43_flow2supera     JOB_FINISHED       {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977533   2x2_production_polaris   flow2supera   workdir/v0_44_flow2supera     JOB_FINISHED       {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977534   2x2_production_polaris   flow2supera   workdir/v0_45_flow2supera     JOB_FINISHED       {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977535   2x2_production_polaris   flow2supera   workdir/v0_46_flow2supera     JOB_FINISHED       {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977536   2x2_production_polaris   flow2supera   workdir/v0_47_flow2supera     JOB_FINISHED       {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977537   2x2_production_polaris   flow2supera   workdir/v0_48_flow2supera     JOB_FINISHED       {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977538   2x2_production_polaris   flow2supera   workdir/v0_49_flow2supera     JOB_FINISHED       {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977539   2x2_production_polaris   flow2supera   workdir/v0_50_flow2supera     JOB_FINISHED       {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977540   2x2_production_polaris   flow2supera   workdir/v0_51_flow2supera     JOB_FINISHED       {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977541   2x2_production_polaris   flow2supera   workdir/v0_52_flow2supera     JOB_FINISHED       {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977542   2x2_production_polaris   flow2supera   workdir/v0_53_flow2supera     JOB_FINISHED       {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977543   2x2_production_polaris   flow2supera   workdir/v0_54_flow2supera     JOB_FINISHED       {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977544   2x2_production_polaris   flow2supera   workdir/v0_55_flow2supera     JOB_FINISHED       {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977545   2x2_production_polaris   flow2supera   workdir/v0_56_flow2supera     JOB_FINISHED       {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977546   2x2_production_polaris   flow2supera   workdir/v0_57_flow2supera     JOB_FINISHED       {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977547   2x2_production_polaris   flow2supera   workdir/v0_58_flow2supera     JOB_FINISHED       {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977548   2x2_production_polaris   flow2supera   workdir/v0_59_flow2supera     AWAITING_PARENTS   {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977549   2x2_production_polaris   flow2supera   workdir/v0_60_flow2supera     AWAITING_PARENTS   {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977550   2x2_production_polaris   flow2supera   workdir/v0_61_flow2supera     JOB_FINISHED       {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977551   2x2_production_polaris   flow2supera   workdir/v0_62_flow2supera     JOB_FINISHED       {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977552   2x2_production_polaris   flow2supera   workdir/v0_63_flow2supera     JOB_FINISHED       {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977553   2x2_production_polaris   flow2supera   workdir/v0_64_flow2supera     JOB_FINISHED       {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977554   2x2_production_polaris   flow2supera   workdir/v0_65_flow2supera     JOB_FINISHED       {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977555   2x2_production_polaris   flow2supera   workdir/v0_66_flow2supera     JOB_FINISHED       {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
