ID         Site                     App         Workdir                     State          Tags                                                                                                          
33978558   2x2_production_polaris   inference   workdir/v0_47_inference     JOB_FINISHED   {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978559   2x2_production_polaris   inference   workdir/v0_48_inference     JOB_FINISHED   {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978560   2x2_production_polaris   inference   workdir/v0_49_inference     JOB_FINISHED   {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978561   2x2_production_polaris   inference   workdir/v0_50_inference     JOB_FINISHED   {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978562   2x2_production_polaris   inference   workdir/v0_51_inference     JOB_FINISHED   {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978563   2x2_production_polaris   inference   workdir/v0_52_inference     JOB_FINISHED   {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978564   2x2_production_polaris   inference   workdir/v0_53_inference     JOB_FINISHED   {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978565   2x2_production_polaris   inference   workdir/v0_54_inference     JOB_FINISHED   {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978566   2x2_production_polaris   inference   workdir/v0_55_inference     JOB_FINISHED   {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978567   2x2_production_polaris   inference   workdir/v0_56_inference     JOB_FINISHED   {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978568   2x2_production_polaris   inference   workdir/v0_57_inference     JOB_FINISHED   {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978569   2x2_production_polaris   inference   workdir/v0_58_inference     JOB_FINISHED   {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978570   2x2_production_polaris   inference   workdir/v0_59_inference     FAILED         {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978571   2x2_production_polaris   inference   workdir/v0_60_inference     FAILED         {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978572   2x2_production_polaris   inference   workdir/v0_61_inference     JOB_FINISHED   {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978573   2x2_production_polaris   inference   workdir/v0_62_inference     JOB_FINISHED   {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978574   2x2_production_polaris   inference   workdir/v0_63_inference     JOB_FINISHED   {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978575   2x2_production_polaris   inference   workdir/v0_64_inference     JOB_FINISHED   {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978576   2x2_production_polaris   inference   workdir/v0_65_inference     JOB_FINISHED   {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978577   2x2_production_polaris   inference   workdir/v0_66_inference     JOB_FINISHED   {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978578   2x2_production_polaris   inference   workdir/v0_67_inference     FAILED         {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978579   2x2_production_polaris   inference   workdir/v0_68_inference     JOB_FINISHED   {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978580   2x2_production_polaris   inference   workdir/v0_69_inference     JOB_FINISHED   {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978581   2x2_production_polaris   inference   workdir/v0_70_inference     JOB_FINISHED   {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978582   2x2_production_polaris   inference   workdir/v0_71_inference     JOB_FINISHED   {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978583   2x2_production_polaris   inference   workdir/v0_72_inference     JOB_FINISHED   {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978584   2x2_production_polaris   inference   workdir/v0_73_inference     JOB_FINISHED   {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978585   2x2_production_polaris   inference   workdir/v0_74_inference     FAILED         {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978586   2x2_production_polaris   inference   workdir/v0_75_inference     JOB_FINISHED   {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978587   2x2_production_polaris   inference   workdir/v0_76_inference     FAILED         {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978588   2x2_production_polaris   inference   workdir/v0_77_inference     JOB_FINISHED   {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978589   2x2_production_polaris   inference   workdir/v0_78_inference     JOB_FINISHED   {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978590   2x2_production_polaris   inference   workdir/v0_79_inference     FAILED         {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978591   2x2_production_polaris   inference   workdir/v0_80_inference     JOB_FINISHED   {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978592   2x2_production_polaris   inference   workdir/v0_81_inference     JOB_FINISHED   {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978593   2x2_production_polaris   inference   workdir/v0_82_inference     JOB_FINISHED   {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978594   2x2_production_polaris   inference   workdir/v0_83_inference     JOB_FINISHED   {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
