ID         Site                     App        Workdir                    State          Tags                                                                                                         
33990620   2x2_production_polaris   analysis   workdir/v2_50_analysis     JOB_FINISHED   {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990621   2x2_production_polaris   analysis   workdir/v2_51_analysis     JOB_FINISHED   {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990622   2x2_production_polaris   analysis   workdir/v2_52_analysis     JOB_FINISHED   {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990623   2x2_production_polaris   analysis   workdir/v2_53_analysis     JOB_FINISHED   {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990624   2x2_production_polaris   analysis   workdir/v2_54_analysis     JOB_FINISHED   {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990625   2x2_production_polaris   analysis   workdir/v2_55_analysis     JOB_FINISHED   {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990626   2x2_production_polaris   analysis   workdir/v2_56_analysis     JOB_FINISHED   {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990627   2x2_production_polaris   analysis   workdir/v2_57_analysis     JOB_FINISHED   {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990628   2x2_production_polaris   analysis   workdir/v2_58_analysis     JOB_FINISHED   {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990629   2x2_production_polaris   analysis   workdir/v2_59_analysis     FAILED         {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
