ID         Site                     App     Workdir              State           Tags                                                                                               
33961779   2x2_production_polaris   larnd   workdir/51_larnd     JOB_FINISHED    {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961780   2x2_production_polaris   larnd   workdir/52_larnd     JOB_FINISHED    {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961781   2x2_production_polaris   larnd   workdir/53_larnd     JOB_FINISHED    {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961782   2x2_production_polaris   larnd   workdir/54_larnd     JOB_FINISHED    {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961783   2x2_production_polaris   larnd   workdir/55_larnd     JOB_FINISHED    {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961784   2x2_production_polaris   larnd   workdir/56_larnd     JOB_FINISHED    {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961785   2x2_production_polaris   larnd   workdir/57_larnd     JOB_FINISHED    {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961786   2x2_production_polaris   larnd   workdir/58_larnd     JOB_FINISHED    {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961787   2x2_production_polaris   larnd   workdir/59_larnd     RESTART_READY   {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961788   2x2_production_polaris   larnd   workdir/60_larnd     RESTART_READY   {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961789   2x2_production_polaris   larnd   workdir/61_larnd     JOB_FINISHED    {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961790   2x2_production_polaris   larnd   workdir/62_larnd     JOB_FINISHED    {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961791   2x2_production_polaris   larnd   workdir/63_larnd     JOB_FINISHED    {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961792   2x2_production_polaris   larnd   workdir/64_larnd     JOB_FINISHED    {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961793   2x2_production_polaris   larnd   workdir/65_larnd     JOB_FINISHED    {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961794   2x2_production_polaris   larnd   workdir/66_larnd     JOB_FINISHED    {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961795   2x2_production_polaris   larnd   workdir/67_larnd     RESTART_READY   {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961796   2x2_production_polaris   larnd   workdir/68_larnd     JOB_FINISHED    {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961797   2x2_production_polaris   larnd   workdir/69_larnd     JOB_FINISHED    {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961798   2x2_production_polaris   larnd   workdir/70_larnd     JOB_FINISHED    {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961799   2x2_production_polaris   larnd   workdir/71_larnd     JOB_FINISHED    {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961800   2x2_production_polaris   larnd   workdir/72_larnd     JOB_FINISHED    {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961801   2x2_production_polaris   larnd   workdir/73_larnd     JOB_FINISHED    {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961802   2x2_production_polaris   larnd   workdir/74_larnd     JOB_FINISHED    {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
