ID         Site                     App              Workdir                          State           Tags                                                                                                                  
33984346   2x2_production_polaris   flow2supera_v1   workdir/v1_35_flow2supera_v1     JOB_FINISHED    {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984347   2x2_production_polaris   flow2supera_v1   workdir/v1_36_flow2supera_v1     JOB_FINISHED    {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984348   2x2_production_polaris   flow2supera_v1   workdir/v1_37_flow2supera_v1     JOB_FINISHED    {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984349   2x2_production_polaris   flow2supera_v1   workdir/v1_38_flow2supera_v1     JOB_FINISHED    {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984350   2x2_production_polaris   flow2supera_v1   workdir/v1_39_flow2supera_v1     JOB_FINISHED    {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984351   2x2_production_polaris   flow2supera_v1   workdir/v1_40_flow2supera_v1     JOB_FINISHED    {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984352   2x2_production_polaris   flow2supera_v1   workdir/v1_41_flow2supera_v1     JOB_FINISHED    {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984353   2x2_production_polaris   flow2supera_v1   workdir/v1_42_flow2supera_v1     FAILED          {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984354   2x2_production_polaris   flow2supera_v1   workdir/v1_43_flow2supera_v1     JOB_FINISHED    {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984355   2x2_production_polaris   flow2supera_v1   workdir/v1_44_flow2supera_v1     JOB_FINISHED    {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984356   2x2_production_polaris   flow2supera_v1   workdir/v1_45_flow2supera_v1     JOB_FINISHED    {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984357   2x2_production_polaris   flow2supera_v1   workdir/v1_46_flow2supera_v1     JOB_FINISHED    {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984358   2x2_production_polaris   flow2supera_v1   workdir/v1_47_flow2supera_v1     JOB_FINISHED    {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984359   2x2_production_polaris   flow2supera_v1   workdir/v1_48_flow2supera_v1     JOB_FINISHED    {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984360   2x2_production_polaris   flow2supera_v1   workdir/v1_49_flow2supera_v1     JOB_FINISHED    {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984361   2x2_production_polaris   flow2supera_v1   workdir/v1_50_flow2supera_v1     JOB_FINISHED    {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984362   2x2_production_polaris   flow2supera_v1   workdir/v1_51_flow2supera_v1     JOB_FINISHED    {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984363   2x2_production_polaris   flow2supera_v1   workdir/v1_52_flow2supera_v1     JOB_FINISHED    {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984364   2x2_production_polaris   flow2supera_v1   workdir/v1_53_flow2supera_v1     JOB_FINISHED    {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984365   2x2_production_polaris   flow2supera_v1   workdir/v1_54_flow2supera_v1     JOB_FINISHED    {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984366   2x2_production_polaris   flow2supera_v1   workdir/v1_55_flow2supera_v1     JOB_FINISHED    {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984367   2x2_production_polaris   flow2supera_v1   workdir/v1_56_flow2supera_v1     JOB_FINISHED    {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984368   2x2_production_polaris   flow2supera_v1   workdir/v1_57_flow2supera_v1     JOB_FINISHED    {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984369   2x2_production_polaris   flow2supera_v1   workdir/v1_58_flow2supera_v1     JOB_FINISHED    {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984370   2x2_production_polaris   flow2supera_v1   workdir/v1_59_flow2supera_v1     FAILED          {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984371   2x2_production_polaris   flow2supera_v1   workdir/v1_60_flow2supera_v1     JOB_FINISHED    {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984372   2x2_production_polaris   flow2supera_v1   workdir/v1_61_flow2supera_v1     JOB_FINISHED    {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984373   2x2_production_polaris   flow2supera_v1   workdir/v1_62_flow2supera_v1     JOB_FINISHED    {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984374   2x2_production_polaris   flow2supera_v1   workdir/v1_63_flow2supera_v1     JOB_FINISHED    {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984375   2x2_production_polaris   flow2supera_v1   workdir/v1_64_flow2supera_v1     JOB_FINISHED    {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984376   2x2_production_polaris   flow2supera_v1   workdir/v1_65_flow2supera_v1     JOB_FINISHED    {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984377   2x2_production_polaris   flow2supera_v1   workdir/v1_66_flow2supera_v1     JOB_FINISHED    {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984378   2x2_production_polaris   flow2supera_v1   workdir/v1_67_flow2supera_v1     JOB_FINISHED    {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984379   2x2_production_polaris   flow2supera_v1   workdir/v1_68_flow2supera_v1     JOB_FINISHED    {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984380   2x2_production_polaris   flow2supera_v1   workdir/v1_69_flow2supera_v1     JOB_FINISHED    {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984381   2x2_production_polaris   flow2supera_v1   workdir/v1_70_flow2supera_v1     JOB_FINISHED    {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984382   2x2_production_polaris   flow2supera_v1   workdir/v1_71_flow2supera_v1     JOB_FINISHED    {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984383   2x2_production_polaris   flow2supera_v1   workdir/v1_72_flow2supera_v1     JOB_FINISHED    {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984384   2x2_production_polaris   flow2supera_v1   workdir/v1_73_flow2supera_v1     JOB_FINISHED    {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984385   2x2_production_polaris   flow2supera_v1   workdir/v1_74_flow2supera_v1     JOB_FINISHED    {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984386   2x2_production_polaris   flow2supera_v1   workdir/v1_75_flow2supera_v1     JOB_FINISHED    {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984387   2x2_production_polaris   flow2supera_v1   workdir/v1_76_flow2supera_v1     FAILED          {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984388   2x2_production_polaris   flow2supera_v1   workdir/v1_77_flow2supera_v1     JOB_FINISHED    {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984389   2x2_production_polaris   flow2supera_v1   workdir/v1_78_flow2supera_v1     JOB_FINISHED    {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984390   2x2_production_polaris   flow2supera_v1   workdir/v1_79_flow2supera_v1     FAILED          {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984391   2x2_production_polaris   flow2supera_v1   workdir/v1_80_flow2supera_v1     JOB_FINISHED    {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984392   2x2_production_polaris   flow2supera_v1   workdir/v1_81_flow2supera_v1     JOB_FINISHED    {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984393   2x2_production_polaris   flow2supera_v1   workdir/v1_82_flow2supera_v1     JOB_FINISHED    {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984394   2x2_production_polaris   flow2supera_v1   workdir/v1_83_flow2supera_v1     JOB_FINISHED    {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984395   2x2_production_polaris   flow2supera_v1   workdir/v1_84_flow2supera_v1     JOB_FINISHED    {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984396   2x2_production_polaris   flow2supera_v1   workdir/v1_85_flow2supera_v1     JOB_FINISHED    {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984397   2x2_production_polaris   flow2supera_v1   workdir/v1_86_flow2supera_v1     JOB_FINISHED    {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984398   2x2_production_polaris   flow2supera_v1   workdir/v1_87_flow2supera_v1     JOB_FINISHED    {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984399   2x2_production_polaris   flow2supera_v1   workdir/v1_88_flow2supera_v1     JOB_FINISHED    {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984400   2x2_production_polaris   flow2supera_v1   workdir/v1_89_flow2supera_v1     JOB_FINISHED    {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984401   2x2_production_polaris   flow2supera_v1   workdir/v1_90_flow2supera_v1     JOB_FINISHED    {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984402   2x2_production_polaris   flow2supera_v1   workdir/v1_91_flow2supera_v1     JOB_FINISHED    {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984403   2x2_production_polaris   flow2supera_v1   workdir/v1_92_flow2supera_v1     JOB_FINISHED    {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984404   2x2_production_polaris   flow2supera_v1   workdir/v1_93_flow2supera_v1     JOB_FINISHED    {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984405   2x2_production_polaris   flow2supera_v1   workdir/v1_94_flow2supera_v1     FAILED          {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984406   2x2_production_polaris   flow2supera_v1   workdir/v1_95_flow2supera_v1     JOB_FINISHED    {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984407   2x2_production_polaris   flow2supera_v1   workdir/v1_96_flow2supera_v1     JOB_FINISHED    {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984408   2x2_production_polaris   flow2supera_v1   workdir/v1_97_flow2supera_v1     JOB_FINISHED    {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984409   2x2_production_polaris   flow2supera_v1   workdir/v1_98_flow2supera_v1     JOB_FINISHED    {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984410   2x2_production_polaris   flow2supera_v1   workdir/v1_99_flow2supera_v1     JOB_FINISHED    {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984411   2x2_production_polaris   flow2supera_v1   workdir/v1_100_flow2supera_v1    JOB_FINISHED    {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984412   2x2_production_polaris   flow2supera_v1   workdir/v1_101_flow2supera_v1    JOB_FINISHED    {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984413   2x2_production_polaris   flow2supera_v1   workdir/v1_102_flow2supera_v1    JOB_FINISHED    {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984414   2x2_production_polaris   flow2supera_v1   workdir/v1_103_flow2supera_v1    JOB_FINISHED    {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984415   2x2_production_polaris   flow2supera_v1   workdir/v1_104_flow2supera_v1    JOB_FINISHED    {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984416   2x2_production_polaris   flow2supera_v1   workdir/v1_105_flow2supera_v1    JOB_FINISHED    {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984417   2x2_production_polaris   flow2supera_v1   workdir/v1_106_flow2supera_v1    JOB_FINISHED    {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984418   2x2_production_polaris   flow2supera_v1   workdir/v1_107_flow2supera_v1    FAILED          {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984419   2x2_production_polaris   flow2supera_v1   workdir/v1_108_flow2supera_v1    JOB_FINISHED    {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984420   2x2_production_polaris   flow2supera_v1   workdir/v1_109_flow2supera_v1    JOB_FINISHED    {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984421   2x2_production_polaris   flow2supera_v1   workdir/v1_110_flow2supera_v1    JOB_FINISHED    {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
33984422   2x2_production_polaris   flow2supera_v1   workdir/v1_111_flow2supera_v1    JOB_FINISHED    {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}     
