ID         Site                     App    Workdir            State              Tags                                                                         
33961979   2x2_production_polaris   flow   workdir/123_flow   RESTART_READY      {'index': '123', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961980   2x2_production_polaris   flow   workdir/124_flow   JOB_FINISHED       {'index': '124', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961981   2x2_production_polaris   flow   workdir/125_flow   RESTART_READY      {'index': '125', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961982   2x2_production_polaris   flow   workdir/126_flow   RESTART_READY      {'index': '126', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961983   2x2_production_polaris   flow   workdir/127_flow   RESTART_READY      {'index': '127', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961984   2x2_production_polaris   flow   workdir/128_flow   RESTART_READY      {'index': '128', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961985   2x2_production_polaris   flow   workdir/129_flow   RESTART_READY      {'index': '129', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961986   2x2_production_polaris   flow   workdir/130_flow   RESTART_READY      {'index': '130', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961987   2x2_production_polaris   flow   workdir/131_flow   JOB_FINISHED       {'index': '131', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961988   2x2_production_polaris   flow   workdir/132_flow   FAILED             {'index': '132', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961989   2x2_production_polaris   flow   workdir/133_flow   RESTART_READY      {'index': '133', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961990   2x2_production_polaris   flow   workdir/134_flow   JOB_FINISHED       {'index': '134', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961991   2x2_production_polaris   flow   workdir/135_flow   RESTART_READY      {'index': '135', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961992   2x2_production_polaris   flow   workdir/136_flow   JOB_FINISHED       {'index': '136', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961993   2x2_production_polaris   flow   workdir/137_flow   AWAITING_PARENTS   {'index': '137', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961994   2x2_production_polaris   flow   workdir/138_flow   RESTART_READY      {'index': '138', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961995   2x2_production_polaris   flow   workdir/139_flow   RESTART_READY      {'index': '139', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961996   2x2_production_polaris   flow   workdir/140_flow   RESTART_READY      {'index': '140', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961997   2x2_production_polaris   flow   workdir/141_flow   AWAITING_PARENTS   {'index': '141', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961998   2x2_production_polaris   flow   workdir/142_flow   AWAITING_PARENTS   {'index': '142', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961999   2x2_production_polaris   flow   workdir/143_flow   RESTART_READY      {'index': '143', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963180   2x2_production_polaris   flow   workdir/144_flow   AWAITING_PARENTS   {'index': '144', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963181   2x2_production_polaris   flow   workdir/145_flow   AWAITING_PARENTS   {'index': '145', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963182   2x2_production_polaris   flow   workdir/146_flow   AWAITING_PARENTS   {'index': '146', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963183   2x2_production_polaris   flow   workdir/147_flow   AWAITING_PARENTS   {'index': '147', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963184   2x2_production_polaris   flow   workdir/148_flow   AWAITING_PARENTS   {'index': '148', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963185   2x2_production_polaris   flow   workdir/149_flow   AWAITING_PARENTS   {'index': '149', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963186   2x2_production_polaris   flow   workdir/150_flow   AWAITING_PARENTS   {'index': '150', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963187   2x2_production_polaris   flow   workdir/151_flow   AWAITING_PARENTS   {'index': '151', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963188   2x2_production_polaris   flow   workdir/152_flow   AWAITING_PARENTS   {'index': '152', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963189   2x2_production_polaris   flow   workdir/153_flow   AWAITING_PARENTS   {'index': '153', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963190   2x2_production_polaris   flow   workdir/154_flow   AWAITING_PARENTS   {'index': '154', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963191   2x2_production_polaris   flow   workdir/155_flow   AWAITING_PARENTS   {'index': '155', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963192   2x2_production_polaris   flow   workdir/156_flow   AWAITING_PARENTS   {'index': '156', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963193   2x2_production_polaris   flow   workdir/157_flow   AWAITING_PARENTS   {'index': '157', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963194   2x2_production_polaris   flow   workdir/158_flow   AWAITING_PARENTS   {'index': '158', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963195   2x2_production_polaris   flow   workdir/159_flow   AWAITING_PARENTS   {'index': '159', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963196   2x2_production_polaris   flow   workdir/160_flow   AWAITING_PARENTS   {'index': '160', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963197   2x2_production_polaris   flow   workdir/161_flow   AWAITING_PARENTS   {'index': '161', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963198   2x2_production_polaris   flow   workdir/162_flow   AWAITING_PARENTS   {'index': '162', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963199   2x2_production_polaris   flow   workdir/163_flow   AWAITING_PARENTS   {'index': '163', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963200   2x2_production_polaris   flow   workdir/164_flow   AWAITING_PARENTS   {'index': '164', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963201   2x2_production_polaris   flow   workdir/165_flow   AWAITING_PARENTS   {'index': '165', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963202   2x2_production_polaris   flow   workdir/166_flow   AWAITING_PARENTS   {'index': '166', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963203   2x2_production_polaris   flow   workdir/167_flow   AWAITING_PARENTS   {'index': '167', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963204   2x2_production_polaris   flow   workdir/168_flow   AWAITING_PARENTS   {'index': '168', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963205   2x2_production_polaris   flow   workdir/169_flow   AWAITING_PARENTS   {'index': '169', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963206   2x2_production_polaris   flow   workdir/170_flow   AWAITING_PARENTS   {'index': '170', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963207   2x2_production_polaris   flow   workdir/171_flow   AWAITING_PARENTS   {'index': '171', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963208   2x2_production_polaris   flow   workdir/172_flow   AWAITING_PARENTS   {'index': '172', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963209   2x2_production_polaris   flow   workdir/173_flow   AWAITING_PARENTS   {'index': '173', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963210   2x2_production_polaris   flow   workdir/174_flow   AWAITING_PARENTS   {'index': '174', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963211   2x2_production_polaris   flow   workdir/175_flow   AWAITING_PARENTS   {'index': '175', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963212   2x2_production_polaris   flow   workdir/176_flow   AWAITING_PARENTS   {'index': '176', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963213   2x2_production_polaris   flow   workdir/177_flow   AWAITING_PARENTS   {'index': '177', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963214   2x2_production_polaris   flow   workdir/178_flow   AWAITING_PARENTS   {'index': '178', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33963215   2x2_production_polaris   flow   workdir/179_flow   AWAITING_PARENTS   {'index': '179', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
